ward_no,ward_name,date,latitude,longitude,temperature_max,temperature_min,humidity_max,precipitation_sum,Population
1,Kempegowda Ward,01-04-2025,13.11507596,77.59916118,32.3,18.8,94,0,39368
1,Kempegowda Ward,02-04-2025,13.11507596,77.59916118,32.2,19.8,95,0,39368
1,Kempegowda Ward,03-04-2025,13.11507596,77.59916118,32.1,20.2,94,2,39368
1,Kempegowda Ward,04-04-2025,13.11507596,77.59916118,30,19.3,97,4,39368
1,Kempegowda Ward,05-04-2025,13.11507596,77.59916118,31.8,19.3,96,0.1,39368
1,Kempegowda Ward,06-04-2025,13.11507596,77.59916118,32.8,20.3,91,0,39368
1,Kempegowda Ward,07-04-2025,13.11507596,77.59916118,34,19.9,98,0,39368
1,Kempegowda Ward,08-04-2025,13.11507596,77.59916118,33.7,18.9,95,0,39368
1,Kempegowda Ward,09-04-2025,13.11507596,77.59916118,32.5,18.7,92,0,39368
1,Kempegowda Ward,10-04-2025,13.11507596,77.59916118,31.8,20.3,85,0,39368
1,Kempegowda Ward,11-04-2025,13.11507596,77.59916118,33.1,20.6,87,0,39368
1,Kempegowda Ward,12-04-2025,13.11507596,77.59916118,32.6,20.5,81,1.3,39368
1,Kempegowda Ward,13-04-2025,13.11507596,77.59916118,32.5,20.6,78,0,39368
1,Kempegowda Ward,14-04-2025,13.11507596,77.59916118,33.1,19.9,74,0.1,39368
1,Kempegowda Ward,15-04-2025,13.11507596,77.59916118,32.6,19.9,85,0,39368
1,Kempegowda Ward,16-04-2025,13.11507596,77.59916118,32.7,21.2,96,1.3,39368
1,Kempegowda Ward,17-04-2025,13.11507596,77.59916118,31.7,20.2,86,0,39368
1,Kempegowda Ward,18-04-2025,13.11507596,77.59916118,32.6,21.2,83,0.4,39368
1,Kempegowda Ward,19-04-2025,13.11507596,77.59916118,32.2,20.8,89,0,39368
1,Kempegowda Ward,20-04-2025,13.11507596,77.59916118,32.7,21.1,91,0.8,39368
1,Kempegowda Ward,21-04-2025,13.11507596,77.59916118,32.7,19.8,96,0,39368
1,Kempegowda Ward,22-04-2025,13.11507596,77.59916118,33.2,20.1,77,0,39368
1,Kempegowda Ward,23-04-2025,13.11507596,77.59916118,33.1,20.3,77,0,39368
1,Kempegowda Ward,24-04-2025,13.11507596,77.59916118,34.6,20,92,0,39368
1,Kempegowda Ward,25-04-2025,13.11507596,77.59916118,33.4,21.2,93,0,39368
1,Kempegowda Ward,26-04-2025,13.11507596,77.59916118,33,20.1,93,0,39368
1,Kempegowda Ward,27-04-2025,13.11507596,77.59916118,32.4,20.3,94,0,39368
1,Kempegowda Ward,28-04-2025,13.11507596,77.59916118,31.9,20.8,95,0,39368
1,Kempegowda Ward,29-04-2025,13.11507596,77.59916118,33,21,93,0.1,39368
1,Kempegowda Ward,30-04-2025,13.11507596,77.59916118,32.7,21.4,81,0.5,39368
1,Kempegowda Ward,01-05-2025,13.11507596,77.59916118,33.1,22.5,75,0,39368
1,Kempegowda Ward,02-05-2025,13.11507596,77.59916118,32.8,21.7,84,0.6,39368
1,Kempegowda Ward,03-05-2025,13.11507596,77.59916118,32.5,21.2,91,3.2,39368
1,Kempegowda Ward,04-05-2025,13.11507596,77.59916118,32.5,21.3,92,0,39368
1,Kempegowda Ward,05-05-2025,13.11507596,77.59916118,33.1,20.8,93,0,39368
1,Kempegowda Ward,06-05-2025,13.11507596,77.59916118,32.7,20.1,93,0,39368
1,Kempegowda Ward,07-05-2025,13.11507596,77.59916118,31.9,20.2,84,0,39368
1,Kempegowda Ward,08-05-2025,13.11507596,77.59916118,31.3,21.2,82,0,39368
1,Kempegowda Ward,09-05-2025,13.11507596,77.59916118,30.2,19.8,83,1,39368
1,Kempegowda Ward,10-05-2025,13.11507596,77.59916118,30.9,20.3,84,1.6,39368
1,Kempegowda Ward,11-05-2025,13.11507596,77.59916118,30.6,20.1,85,0.2,39368
1,Kempegowda Ward,12-05-2025,13.11507596,77.59916118,30.9,20.5,95,2.2,39368
1,Kempegowda Ward,13-05-2025,13.11507596,77.59916118,31.7,20.2,99,1.8,39368
1,Kempegowda Ward,14-05-2025,13.11507596,77.59916118,30.5,20.7,93,0.4,39368
1,Kempegowda Ward,15-05-2025,13.11507596,77.59916118,31.2,20.8,97,0,39368
1,Kempegowda Ward,16-05-2025,13.11507596,77.59916118,30.5,20.9,96,5.3,39368
1,Kempegowda Ward,17-05-2025,13.11507596,77.59916118,30.6,21.1,98,17.7,39368
1,Kempegowda Ward,18-05-2025,13.11507596,77.59916118,29.9,20.6,99,9.9,39368
1,Kempegowda Ward,19-05-2025,13.11507596,77.59916118,29,21.2,99,3,39368
1,Kempegowda Ward,20-05-2025,13.11507596,77.59916118,27.1,20.9,98,21.6,39368
1,Kempegowda Ward,21-05-2025,13.11507596,77.59916118,27.9,20.8,95,3.8,39368
1,Kempegowda Ward,22-05-2025,13.11507596,77.59916118,29.6,20.1,92,0.1,39368
1,Kempegowda Ward,23-05-2025,13.11507596,77.59916118,29.3,20.5,95,2.9,39368
1,Kempegowda Ward,24-05-2025,13.11507596,77.59916118,26.5,21.3,91,3.2,39368
1,Kempegowda Ward,25-05-2025,13.11507596,77.59916118,28,20.6,96,10.2,39368
1,Kempegowda Ward,26-05-2025,13.11507596,77.59916118,26.5,20.5,96,8.1,39368
1,Kempegowda Ward,27-05-2025,13.11507596,77.59916118,27.5,20.4,92,2.8,39368
1,Kempegowda Ward,28-05-2025,13.11507596,77.59916118,27.5,21,92,3.6,39368
1,Kempegowda Ward,29-05-2025,13.11507596,77.59916118,26.8,20.9,96,8.2,39368
1,Kempegowda Ward,30-05-2025,13.11507596,77.59916118,24.9,20.6,97,1.5,39368
1,Kempegowda Ward,31-05-2025,13.11507596,77.59916118,30,20.9,93,0,39368
2,Chowdeswari Ward,01-04-2025,13.12191289,77.57889171,32.8,18.5,93,0,47075
2,Chowdeswari Ward,02-04-2025,13.12191289,77.57889171,32.6,19.9,92,0.2,47075
2,Chowdeswari Ward,03-04-2025,13.12191289,77.57889171,32.7,20.2,94,4.6,47075
2,Chowdeswari Ward,04-04-2025,13.12191289,77.57889171,30.3,19.2,96,5.8,47075
2,Chowdeswari Ward,05-04-2025,13.12191289,77.57889171,32.4,19.2,97,0.1,47075
2,Chowdeswari Ward,06-04-2025,13.12191289,77.57889171,33,20.5,91,0,47075
2,Chowdeswari Ward,07-04-2025,13.12191289,77.57889171,34.7,20.3,96,0,47075
2,Chowdeswari Ward,08-04-2025,13.12191289,77.57889171,34,18.9,94,0,47075
2,Chowdeswari Ward,09-04-2025,13.12191289,77.57889171,33,18.7,89,0,47075
2,Chowdeswari Ward,10-04-2025,13.12191289,77.57889171,32.4,20.3,86,0.2,47075
2,Chowdeswari Ward,11-04-2025,13.12191289,77.57889171,33.5,20.3,87,1.5,47075
2,Chowdeswari Ward,12-04-2025,13.12191289,77.57889171,33.3,20.3,83,2,47075
2,Chowdeswari Ward,13-04-2025,13.12191289,77.57889171,33,20.7,78,0,47075
2,Chowdeswari Ward,14-04-2025,13.12191289,77.57889171,33.8,20.7,67,0,47075
2,Chowdeswari Ward,15-04-2025,13.12191289,77.57889171,33.1,20.6,78,0,47075
2,Chowdeswari Ward,16-04-2025,13.12191289,77.57889171,33.1,21.4,89,2.4,47075
2,Chowdeswari Ward,17-04-2025,13.12191289,77.57889171,32.6,20.2,82,0,47075
2,Chowdeswari Ward,18-04-2025,13.12191289,77.57889171,33.2,21.2,83,0.1,47075
2,Chowdeswari Ward,19-04-2025,13.12191289,77.57889171,32.8,20.6,89,0,47075
2,Chowdeswari Ward,20-04-2025,13.12191289,77.57889171,33.4,20.8,91,0.6,47075
2,Chowdeswari Ward,21-04-2025,13.12191289,77.57889171,33.6,19.8,97,0,47075
2,Chowdeswari Ward,22-04-2025,13.12191289,77.57889171,34,20.6,73,0,47075
2,Chowdeswari Ward,23-04-2025,13.12191289,77.57889171,33.9,20.6,72,0,47075
2,Chowdeswari Ward,24-04-2025,13.12191289,77.57889171,35.7,19.9,93,0,47075
2,Chowdeswari Ward,25-04-2025,13.12191289,77.57889171,34.2,20.9,89,0,47075
2,Chowdeswari Ward,26-04-2025,13.12191289,77.57889171,33.8,20.7,83,0,47075
2,Chowdeswari Ward,27-04-2025,13.12191289,77.57889171,33.3,20.8,90,0,47075
2,Chowdeswari Ward,28-04-2025,13.12191289,77.57889171,32.7,21.1,93,0,47075
2,Chowdeswari Ward,29-04-2025,13.12191289,77.57889171,33.7,21.7,86,0.1,47075
2,Chowdeswari Ward,30-04-2025,13.12191289,77.57889171,33.9,21.9,74,0.5,47075
